id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
87435,2020-03-31 02:14:11,利比亚,8,0,0,0,0,5.0,0.0,0.0,0.0,0.0,
95287,2020-03-07 00:00:31,圣马丁岛,2,0,0,0,0,,0.0,,,0.0,
95046,2020-03-31 09:16:22,土耳其,10827,0,162,168,0,1610.0,0.0,57.0,37.0,0.0,
95047,2020-03-23 19:41:46,巴布亚新几内亚,1,0,0,0,0,,0.0,,,0.0,
95000011,2020-03-31 14:47:22,多米尼加,859,0,3,39,0,140.0,0.0,0.0,19.0,0.0,
95076,2020-03-31 07:58:25,约旦,268,0,26,5,0,9.0,0.0,8.0,4.0,0.0,
9532556,2020-03-31 17:55:33,亚美尼亚,532,0,30,3,0,51.0,0.0,0.0,0.0,0.0,
811192,2020-03-27 11:31:52,圣基茨和尼维斯,2,0,0,0,0,,0.0,,,0.0,
89665,2020-03-28 00:00:31,瓜德罗普,73,0,0,1,0,,0.0,,,0.0,
94367,2020-03-28 00:00:31,安提瓜和巴布达,7,0,0,0,0,,0.0,,,0.0,
95215,2020-03-31 00:00:31,玻利维亚,96,0,0,3,0,,,,,,
95693,2020-03-31 14:47:38,哥伦比亚,702,0,10,10,0,94.0,0.0,0.0,4.0,0.0,
879903,2020-03-27 11:40:20,圣文森特和格林纳丁斯,1,0,0,0,0,,0.0,,,0.0,
84326,2020-03-31 00:00:31,圣卢西亚,9,0,1,0,0,,,,,,
10,2020-03-31 09:35:17,法国,45169,0,7964,3030,0,619.0,,0.0,6.0,,
11,2020-03-31 13:11:20,阿联酋,611,0,61,5,0,41.0,0.0,3.0,2.0,0.0,
12,2020-03-31 07:05:46,加拿大,7448,0,466,87,0,1168.0,0.0,0.0,22.0,0.0,
13,2020-03-31 07:39:25,印度,1251,0,102,32,0,227.0,0.0,7.0,5.0,0.0,
14,2020-03-31 09:14:43,英国,22453,0,171,1411,0,312.0,0.0,20.0,3.0,0.0,
15,2020-03-31 08:17:43,意大利,101739,0,14620,11591,0,4050.0,0.0,1590.0,812.0,0.0,
16,2020-03-31 18:15:28,俄罗斯,2337,0,121,17,0,501.0,0.0,55.0,8.0,0.0,
17,2020-03-31 17:01:24,菲律宾,2084,0,49,88,0,538.0,0.0,7.0,10.0,0.0,
18,2020-03-31 08:07:02,芬兰,1352,0,10,13,0,134.0,0.0,0.0,2.0,0.0,
19,2020-03-29 00:00:30,尼泊尔,5,0,1,0,0,,0.0,,,0.0,
95682,2020-03-31 08:59:55,葡萄牙,6408,0,43,140,0,446.0,0.0,0.0,21.0,0.0,
954356,2020-03-29 05:04:33,塞舌尔,8,0,0,0,0,,0.0,,,0.0,
20,2020-03-31 17:39:00,西班牙,94417,0,16780,8189,0,9222.0,0.0,2071.0,849.0,0.0,
21,2020-03-31 19:38:13,斯里兰卡,132,0,16,2,0,10.0,0.0,1.0,1.0,0.0,
9509,2020-03-31 01:31:35,阿尔及利亚,584,0,37,35,0,73.0,0.0,5.0,4.0,0.0,
22,2020-03-31 00:00:30,柬埔寨,107,0,21,0,0,,,,,,
95239,2020-03-31 00:00:31,海地,15,0,1,0,0,,,,,,
23,2020-03-31 02:17:58,瑞典,4028,0,16,146,0,328.0,0.0,0.0,36.0,0.0,
95237,2020-03-31 00:00:31,特立尼达和多巴哥,78,0,1,3,0,,,,,,
