主演,5星,制片国家/地区,编剧,4星,类型,豆瓣评分,3星,上映日期,1星,2星,电影名称,片长
艾伦·艾克哈特/米歇尔·罗德里格兹/拉蒙·罗德里格兹/布丽姬·穆娜/迈克尔·佩纳/威尔·罗斯海尔/科里·哈德里克/尼欧,4.20%,美国,,20.50%,动作/科幻,6,51.90%,2011/3/18,4.80%,18.70%,洛杉矶之战 Battle: Los Angeles,116分钟
古天乐/刘青云/吴彦祖/曾江/叶璇/黄奕/刘浩龙/胡枫/骆应钧/江毅/焦姣/郭锋/林迪安/邹凯光/方中信/钟均呈,13.90%,香港 / 中国大陆,麦兆辉/庄文强,51.50%,剧情/动作/悬疑/犯罪,7.5,31.80%,2011/8/18,0.30%,2.50%,窃听风云2,117分钟(中国大陆)
刘德华/谢霆锋/范冰冰/成龙/吴京/余少群/熊欣欣/于海/释彦能/白冰/景珂/岛田瑠那,4.10%,中国大陆 / 香港,袁锦麟/张志光/王秋雨/陈锦昌/张炭,17.00%,剧情/动作,5.9,51.80%,2011/1/19,5.50%,21.60%,新少林寺,132分钟
李连杰/黄圣依/林峰/蔡卓妍/文章/徐若瑄/姜武/杨千嬅/杜汶泽/罗家英/郭羡妮/林雪,2.10%,中国大陆,张炭/曾瑾昌,7.80%,动作/爱情/奇幻/古装,4.7,34.60%,2011/9/28,20.50%,35.00%,白蛇传说,103分钟
詹姆斯·弗兰科/安迪·瑟金斯/汤姆·费尔顿/芙蕾达·平托/布莱恩·考克斯/泰勒·莱伯恩/约翰·利思戈/卡琳·考诺娃/泰瑞·诺塔里/理查德·赖丁斯/克里斯托弗·戈登/德文·达尔顿/杰·卡普托/大卫·奥伊罗/杰米·哈里斯,24.20%,美国,里克·杰法/阿曼达·斯尔沃/皮埃尔·布尔,53.30%,剧情/动作/科幻,8,20.90%,2011/10/28,0.20%,1.40%,猩球崛起 Rise of the Planet of the Apes,105分钟
李亚鹏/徐静蕾/王学兵/杜汶泽/何洁/程伊/崔达治/优恵/陈明/宁浩/冯瓅/王芸/曹卫宇/赵薇,8.50%,中国大陆,沈巍/邢爱娜/某小丫/黄子珈,30.80%,剧情/爱情,6.6,45.50%,2011/2/12,3.20%,12.00%,将爱情进行到底,103分钟
闫妮/姚晨/沙溢/喻恩泰/倪虹洁/姜超/肖剑/岳跃利/王磊/午马,7.80%,中国大陆,宁财神,25.30%,喜剧/动作/古装,6.4,49.00%,2011/1/26,3.30%,14.70%,武林外传,92分钟
邓超/孙俪/闫妮/郑爽/柳岩/谢楠/邹兆龙/包贝尔/曾志伟/莫小棋/安志杰/包文婧/夏一瑶/蓝盈莹,2.50%,中国大陆 / 香港,陈嘉上,6.30%,剧情/动作/爱情/奇幻,4.4,29.00%,2011/9/29,26.90%,35.30%,画壁,122分钟
甄子丹/金城武/汤唯/王羽/惠英红/李小冉/姜武,6.10%,香港 / 中国大陆,林爱华,31.70%,剧情/动作/悬疑/武侠,6.6,49.60%,2011/7/4,2.10%,10.60%,武侠,115分钟
张柏芝/古天乐/甄子丹/刘嘉玲/黄百鸣/闫妮/熊黛林/杜汶泽/杨颖/汪圆圆/郑中基,1.90%,中国大陆 / 香港,黄百鸣/何妙祺,9.30%,喜剧/爱情,5.2,46.30%,2011/1/31,11.70%,30.80%,最强囍事,103分钟
