,渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间,素材类型,广告类型,合作方式,广告尺寸,广告卖点
148,A856,4304.33,0.0012,0.0089,3.0204,132.64,0.0019,30,jpg,banner,cpc,308*388,秒杀
149,A857,5.08,0.0,0.0,1.6621,63.73,0.0,9,jpg,banner,cpc,308*388,秒杀
150,A858,1.15,0.0,0.0086,1.7759,77.45,0.0,25,jpg,banner,cpc,308*388,秒杀
151,A859,0.53,0.0278,0.0,9.9583,680.03,0.0719,24,jpg,banner,roi,308*388,秒杀
152,A860,0.65,0.0,0.3049,5.9268,438.96,0.0183,29,jpg,banner,roi,308*388,秒杀
153,A118,689.18,0.0001,0.0041,1.2746,347.71,0.0002,11,swf,tips,cpm,450*300,打折
154,A119,711.71,0.0002,0.0012,1.2957,229.33,0.0001,3,swf,tips,cpm,450*300,打折
155,A120,51.28,0.0004,0.0109,1.168,261.29,0.0003,14,swf,tips,cpm,450*300,打折
156,A121,837.77,0.0,0.0013,1.1692,695.05,0.0,27,swf,tips,cpm,450*300,打折
157,A122,397.34,0.0,0.0026,1.1392,687.09,0.0,13,swf,tips,cpm,450*300,打折
158,A123,838.98,0.0,0.0001,1.0621,375.92,0.0,1,swf,tips,cpm,450*300,打折
159,A124,1027.8,0.0014,0.0083,2.005,420.23,0.0027,1,swf,tips,cpm,450*300,打折
160,A125,776.93,0.0032,0.0056,1.5872,470.25,0.0014,26,swf,tips,cpm,450*300,打折
161,A126,810.64,0.0003,0.0042,1.4892,511.82,0.0004,20,swf,tips,cpm,450*300,打折
162,A127,515.57,0.0019,0.0019,1.6943,293.64,0.0013,10,swf,tips,cpm,450*300,打折
163,A128,481.45,0.0,0.0003,1.2045,521.41,0.0001,9,swf,tips,cpm,450*300,打折
164,A129,378.75,0.0,0.0019,1.2483,333.51,0.0001,9,swf,tips,cpm,450*300,打折
165,A130,1061.24,0.0001,0.0009,1.1294,536.39,0.0,13,swf,tips,cpm,450*300,打折
166,A131,221.37,0.0005,0.0011,1.3376,247.39,0.0005,2,swf,tips,cpm,450*300,打折
167,A132,699.72,0.0001,0.0039,1.2969,348.1,0.0001,26,swf,tips,cpm,450*300,满减
168,A133,739.93,0.0004,0.0014,1.3032,236.05,0.0001,23,swf,tips,cpm,450*300,满减
169,A134,56.04,0.0,0.006999999999999999,1.1712,265.84,0.0006,25,swf,tips,cpm,450*300,满减
170,A135,513.11,0.0,0.0001,1.0495,400.81,0.0,13,swf,tips,cpm,450*300,满减
171,A136,607.28,0.0001,0.0021,1.234,640.29,0.0002,1,swf,tips,cpm,450*300,满减
172,A169,6101.12,0.0001,0.0012,3.0462,79.12,0.0001,17,swf,tips,cpm,450*300,满减
173,A170,2.66,0.0,0.0,1.0526,209.6,0.0,21,swf,tips,cpm,450*300,打折
174,A171,2.15,0.0,0.0,2.8930000000000002,61.76,0.0,30,swf,tips,cpm,450*300,打折
175,A384,4782.88,0.0,0.0017,1.4086,360.79,0.0,3,swf,tips,cpm,450*300,满减
176,A385,1553.42,0.0,0.0003,1.0074,517.0,0.0,4,swf,tips,cpm,450*300,满减
177,A386,9276.45,0.0,0.0002,1.3062,573.57,0.0,26,swf,tips,cpm,450*300,满减
